report_dist_nos
1401
1993
373
252
343
1199
1383
1345
723
497
1513
155
884
1871
722
416
195
1757
1529
1153
1137
1097
441
902
1309
1142
1047
2036
1178
892
2027
1083
1675
1864
503
1663
1917
1998
1451
994
1099
2199
852
621
2175
1200
2177
809
585
934
1775
455
713
1693
1135
448
1205
1935
396
1395
701
1861
1472
132
2076
514
1414
854
2097
916
1471
518
289
1413
583
1400
1488
2138
715
1462
527
235
1132
627
763
119
376
147
338
1834
358
1941
412
989
564
1159
1527
642
1916
725
131
832
1962
1784
1766
1001
584
1469
1821
353
806
939
834
831
2024
813
1863
1764
2132
2187
225
1443
1943
1344
333
1496
174
1446
1375
891
134
1241
1293
848
1802
1303
2133
2064
158
1703
915
459
1677
1588
1783
979
123
1901
871
2103
881
1758
1996
704
157
1559
2042
2134
1667
1909
308
313
1851
1586
2046
2031
248
1918
392
191
966
1972
218
1539
1515
1736
2148
2069
1955
742
1502
1752
2021
1964
1969
938
1158
1642
1037
753
1300
477
394
1437
1362
858
424
406
1799
1509
1683
309
1612
1686
849
509
1905
2055
1698
919
156
1067
1599
932
1273
1408
1673
1475
961
1433
1235
733
1781
269
1728
261
502
257
1122
700
1426
1485
1258
1637
587
1908
1444
2115
1687
1519
914
728
766
1533
1119
506
1416
1501
242
331
1024
599
677
1468
2146
2071
1464
1954
1486
1232
1525
1028
1543
466
201
1617
1039
1787
631
1778
1551
749
1163
1148
1641
219
363
1979
1432
231
512
1653
1213
523
356
1919
1803
1505
414
1311
1053
1982
1452
735
166
1648
2023
1846
142
2045
872
2189
2011
896
1381
2044
1005
359
1449
1012
1435
217
1087
1457
709
1635
1902
886
1105
727
985
2001
1405
779
1601
1737
2101
1231
1117
2173
1721
1251
145
931
557
1189
1712
1654
1364
1991
1112
559
1102
788
2106
1971
1453
341
2017
1506
900
405
1195
762
192
1174
513
101
473
1063
1824
679
983
375
1912
415
2131
976
729
408
1835
1242
1365
782
1514
522
1079
1806
1445
1723
1152
821
1492
401
1826
1456
1701
1483
1141
659
739
1094
279
716
1743
897
1562
736
565
1473
566
457
281
2136
1041
622
927
1765
1027
1479
774
1385
398
1832
635
1672
1732
165
1233
2162
151
1346
1267
205
245
2029
1326
325
895
1127
1377
1638
1017
783
1794
334
558
144
1538
1754
471
2169
1739
1424
464
1109
277
1777
1842
1716
1352
1133
2058
2137
1441
1035
1019
2118
2091
439
1773
336
275
1735
247
1801
1412
423
139
1881
1459
1621
411
1537
1033
672
1499
2083
825
1454
316
403
256
332
628
422
885
1643
185
215
1107
1465
1157
625
1526
1521
765
1541
887
1531
1772
1669
2022
1671
819
314
817
1983
426
1891
1797
1805
299
1113
1123
1317
541
1517
971
1759
437
1707
236
941
957
998
1065
1719
1795
135
665
1751
454
759
500
1547
1204
311
1169
1994
1171
1252
1138
2014
239
121
2161
1353
1255
1651
1438
1407
561
1722
1322
755
1184
1031
1985
1761
2158
291
1361
1129
859
842
767
2062
1367
244
1043
1088
1124
468
697
1717
1738
721
1725
1243
251
1100
705
1436
1032
171
1516
1591
1729
397
1988
427
562
2079
1945
1455
636
321
105
402
804
445
1934
1542
889
1487
2104
991
1611
1391
467
776
327
1636
2004
2026
581
1177
109
133
1566
1343
724
1134
1323
1785
1921
1714
600
2041
1511
772
2019
335
1596
1931
1756
808
1695
301
1011
1600
1768
771
827
254
377
1497
2081
952
2088
159
1618
1402
857
1763
2107
1394
1061
1347
1341
319
517
1999
129
2102
203
1181
1838
789
267
1491
773
1023
146
1172
861
1208
511
162
1351
738
1183
1633
1676
1333
1958
1034
2013
943
237
1903
2141
451
1466
337
1634
1689
1363
504
399
1504
238
112
1699
818
2113
1042
737
1745
2016
569
124
452
615
1545
1581
1657
964
1623
2197
202
905
1425
1532
1925
2056
678
1906
812
1981
2144
1176
1186
212
1116
1796
1089
404
1656
1147
917
489
1029
515
1605
1555
1068
1256
2142
1000
1245
1211
706
1393
2139
516
216
395
666
958
882
295
213
1655
955
1904
163
801
833
669
1512
221
362
2002
752
1013
1553
1207
499
265
1839
111
851
1709
893
1659
326
805
1822
2111
1139
1327
413
649
2039
1342
656
2033
421
429
1498
835
141
122
648
923
995
211
901
1014
1125
465
449
1715
2185
148
828
